slot_000001 | prov_001 | Allison Hill | Therapy | 2025-09-01 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000002 | prov_002 | Noah Rhodes | Therapy | 2025-09-01 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000003 | prov_003 | Angie Henderson | Psychiatry | 2025-09-01 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000004 | prov_007 | Abigail Shaffer | Both | 2025-09-01 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000005 | prov_011 | Monica Herrera | Both | 2025-09-01 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000006 | prov_012 | Jamie Arnold | Psychiatry | 2025-09-01 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000007 | prov_012 | Jamie Arnold | Psychiatry | 2025-09-01 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000008 | prov_015 | Dylan Miller | Psychiatry | 2025-09-01 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000009 | prov_017 | Holly Wood | Psychiatry | 2025-09-01 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000010 | prov_017 | Holly Wood | Psychiatry | 2025-09-01 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000011 | prov_019 | Lisa Jackson | Therapy | 2025-09-01 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000012 | prov_021 | Margaret Hawkins DDS | Both | 2025-09-01 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000013 | prov_023 | Ethan Adams | Both | 2025-09-01 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000014 | prov_024 | Tommy Walter | Both | 2025-09-01 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000015 | prov_026 | Judy Baker | Psychiatry | 2025-09-01 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000016 | prov_030 | Anthony Rodriguez | Both | 2025-09-01 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000017 | prov_031 | Rebecca Henderson | Therapy | 2025-09-01 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000018 | prov_032 | James Ferrell | Therapy | 2025-09-01 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000019 | prov_034 | Nathan Maldonado | Therapy | 2025-09-01 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000020 | prov_036 | Jeffrey Chavez | Therapy | 2025-09-01 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000021 | prov_036 | Jeffrey Chavez | Therapy | 2025-09-01 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000022 | prov_038 | Cassandra Gaines | Psychiatry | 2025-09-01 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000023 | prov_039 | Elizabeth Fowler | Both | 2025-09-01 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000024 | prov_039 | Elizabeth Fowler | Both | 2025-09-01 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000025 | prov_040 | Brittany Farmer | Psychiatry | 2025-09-01 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000026 | prov_041 | Paula Moreno | Psychiatry | 2025-09-01 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000027 | prov_041 | Paula Moreno | Psychiatry | 2025-09-01 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000028 | prov_042 | Fred Smith | Therapy | 2025-09-01 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000029 | prov_044 | Anthony Humphrey | Psychiatry | 2025-09-01 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000030 | prov_045 | Angelica Tucker | Psychiatry | 2025-09-01 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000031 | prov_046 | Philip Cannon | Psychiatry | 2025-09-01 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000032 | prov_047 | John Pierce | Both | 2025-09-01 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000033 | prov_049 | Joshua Blair | Both | 2025-09-01 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000034 | prov_050 | Eric Carney | Therapy | 2025-09-01 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000035 | prov_050 | Eric Carney | Therapy | 2025-09-01 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000036 | prov_051 | Jessica Holmes | Therapy | 2025-09-01 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000037 | prov_053 | Crystal Robinson | Both | 2025-09-01 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000038 | prov_053 | Crystal Robinson | Both | 2025-09-01 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000039 | prov_055 | Shannon Jones | Therapy | 2025-09-01 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000040 | prov_056 | Michael Lewis | Therapy | 2025-09-01 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000041 | prov_058 | Richard Aguirre | Psychiatry | 2025-09-01 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000042 | prov_058 | Richard Aguirre | Psychiatry | 2025-09-01 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000043 | prov_059 | Brent Jordan | Therapy | 2025-09-01 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000044 | prov_060 | John Daniel | Therapy | 2025-09-01 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000045 | prov_063 | Connor West | Both | 2025-09-01 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000046 | prov_064 | Donald Wright | Both | 2025-09-01 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000047 | prov_064 | Donald Wright | Both | 2025-09-01 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000048 | prov_065 | Jessica Callahan | Both | 2025-09-01 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000049 | prov_065 | Jessica Callahan | Both | 2025-09-01 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000050 | prov_066 | Amber Kidd | Psychiatry | 2025-09-01 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000051 | prov_067 | Tracy House | Both | 2025-09-01 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
